lemma	synonyms
aspiraties	ambitie	aspiratie	eerzucht
müsli	muesli
badge	speld	button	toets	knop
onderbouwen	beargumenteren	gronden	baseren	funderen	argumenteren
dagexcursie	dagje	dagtocht
jakobsladder	touwladder
voorlopen	vooroplopen	voorgaan
fortuinzoeker	goudzoeker	gelukzoeker	ontdekker	ontdekkingsreiziger	avonturier	vrijbuiter
idool	god	godheid	godenbeeld	icoon
knutten	mug	steekmug
Turkse kromme sabel	kromsabel	kromzwaard
divergentie	verschil
schillen	afschillen	snoeien	afpellen	pellen	schilfering	ontvellen
bedeltje	charme
kasuaris	casuaris
koine	omgangstaal	boeventaal	dieventaal	vaktaal	kringtaal	jargon	spreektaal	groepstaal	volkstaal	argot	slang	volksmond	vakjargon	Bargoens	kunsttaal
vechtsport	gevechtssport	gevechtskunst
wangedrocht	wanproduct	monster	gedrocht	wangestalte	misbaksel	monstertje
kwaad	slecht	onheil	ongeluk	rampspoed	zondigheid	zonde	pech	tegenslag	kanker	boos	duivels	euvel
rijp	vorst	rijm
reconvalescentie	revalidatie	recuperatie	herstel
kompasstreek	windhoek	streek	windrichting	hemelstreek	windstreek	kompasrichting
troonsopvolger	kroonprins
pleiter	advocate	jurist	verdediger	fakkeldrager	raadsman	strijder	patroon	voorstander	bepleiter	advocaat	pleitbezorger	voorspraak
graai	greep
gelijkspelen	puntendeling	draw	gelijkspel
hiaat	leegte	gaping	leemte	vacuüm	lacune	manco	gemis
vingerspraak	dactylologie	gestiek	gebarentaal	vingertaal
conus	kegel
theebuiltje	theezakje
niksen	luilakken	rondbanjeren	rondhangen	lummelen	lanterfanten	luieren	luiwammesen	freewheelen	stilzitten	dagdieven	slungelen	slabakken	rondlummelen	straatslijpen	leeglopen	slampampen
palaver	onderhandeling	pourparlers	bespreking	dialoog	ontmoeting
sterfbed	doodsbed
inklapbaar	demontabel	opvouwbaar
complex getal	imaginair getal
begraafplaats	dodenstad	vertrouweling	kerkhof	dodenakker	godsakker
indolentie	matheid	lamlendigheid	futloosheid	apathie	landerigheid	lusteloosheid
kindergoed	kinderkleding	kinderkleren
modderstroom	aardverschuiving	grondverschuiving	lahar
district	gebied	werkgebied	rayon	regio	grondgebied
dwarsfluit	fluit
mislukkeling	kneus	wanboffer	schlemiel	kneusje	verliezer	loser	pechvogel
observator	observant	nalever	waarnemer
rococo	rococostijl
provisiekamer	voorraadkamer	provisiekast	broodkeuken	voorraadkast	spinde	schapraai	kelderkast	office
Tsjech	Tsjechoslowaak	Tsjechoslovaak
vervreemden	afstoten	vervreemd	vervreemding
bermbom	IED
deal	verdrag	convenant	overeenkomst	akkoord	afspraak
doodskleed	lijkwa	lijkwade	wade	doodshemd	rouwkleed	lijkkleed
procesgang	rechtsgang	verslag	vooruitgang
voeler	sensor	verklikker	detector
tal	aantal	getal	hoeveelheid
kerkgezang	tussenzang	lofzang	kerkzang	hymne	loflied	gezang	cantus
regenseizoen	regentijd
voedingsdeskundige	diëtist
fratsenmaker, wispelturig iemand	duiveltje, deugniet	roddelaar
rassenvraagstuk	rassenkwestie	rassenprobleem
hondenziekte	hondeziekte
verkenningstocht	exploratie
veiligheidsglas	hardglas	triplexglas
pesten	ontstemmen	kwellen	jennen	uitlokken	tergen	ergeren	tarten	irriteren	plagen	mishagen	koeioneren	misnoegen
ontruiming	evacuatie	lediging	ontruimingsactie
klaviatuur	claviatuur	klavier	speeltafel
weder	weerstoestand	weersomstandigheden	weer	weersomstandigheid	weersgesteldheid
rechts	liberaal	conservatief	conservatieveling
pup	hondejong	puppy	hondenjong
Maladiven	Republiek Maldiven
attributie	toeschrijving	toekenning
destalinisatie	de-stalinisatie
schol	schots	pladijs	plaat	ijsschots
zegenwens	zegen	zegenbede	zegening	heilwens
gordel	veiligheidsgordel	band	buikriem	broeksband	gordelriem	broekriem	draagband	ceintuur	riem	rokband
dashboardkastje	handschoenenkastje
smokkel	smokkelhandel	sluikinvoer	sluikhandel
overexploitatie	roofbouw
edammer	Edammer	Edam
bakken	braden	zonnebaden	zonnen
aanvallen	ingaan	storten	toetasten	molesteren	bestrijden	attaque	contesteren	weerleggen	redetwisten	aanval	attaqueren	betwisten	aanvechten
staafje	geselroede
ultraviolet licht	ultraviolette straling	UV-licht
ambivalentie	dubbelheid	dualisme	dualiteit	tegenstrijdigheid	tweeslachtigheid
vervanger	vervangingsmiddel	gecommitteerde	lasthebber	adjunct	gemachtigde	mandaathouder	remplaçant	surrogaat	plaatsvervanger	mandataris	zaakgelastigde	afgevaardigde	substituut
ophopen	opstapelen
producent	maker
stiefelen	afstappen	stappen	banjeren
crustaceeën	schaaldieren
samenpersen	verpletteren	platdrukken	kneuzen	pletten
bedrijver	overtreder	pleger	boosdoener	schuldige	dader
tarten	pesten	kwellen	uitlokken	het hoofd bieden	uitdagen
feestzaal	burgerzaal
spits	centrumspits	overtreffende trap	piek	puntspeler	spitsspeler	hoogtepunt	kerktoren	voorhoedespeler	punttoren	midvoor	torenspits	voorspeler	punt	aanvaller	toppunt	top
entomoloog	insectenkenner	insectenkundige
connaisseur	connoisseur	deskundoloog	deskundige	rot	kenner	fijnproever	expert	autoriteit	specialist
raadgeving	aankondiging	advies	raad
mekkeren	zemelknopen	zeuren	reutelen	mauwen	emmeren	zagen	mieren	malen	zaniken	zieken	meieren	griepen	zeiken	lazeren	piepen	neuzelen	zemelen	zeveren	mekken
hortus	arboretum	plantentuin	heemtuin	botanische tuin	heempark	hortus botanicus
toonzaal	toonkamer	show-room	showroom
vastleggen	registreren
reddingsvest	zwemvest
waterluis	watervlooien	watervlo
gelaat	facie	smoel	tronie	snufferd	aanschijn	postzegel	snuit	fieselemie	gezicht	aangezicht	fieselefacie	porem	toetje	snoet	bakkes	ponem	toet	smoelwerk
waterpolo	polo
droogzwierder	afscheider	scheider	centrifuge
afgeleid gegeven	eindoordeel	slotsom	gevolgtrekking	conclusie
voettocht	wandeling	loopje	ommetje	voetreis
zakdoek	zardock
bastion	wal	muur	kamp	verschansing	bolwerk	burgwal	schans	vestingwal
aanvullen	verhogen	bijvullen	toenemen	doen toenemen	vergroten	navullen
kunstijsbaan	schaatsbaan	ijsbaan
testcase	proefproces	test-case
bloedbad	massamoord	bloedvergieten
wegwijzer	gids	richtingbord	leidraad
gebrekkigheid	onvolkomenheid	aandoening	onvolmaaktheid	ongemak	imperfectie	handicap	affectie	gebrek
embleem	allegorie	herkenningsteken	zinnebeeldige voorstelling
registratie	register	geluidsregistratie	opname	intake	geluidsopname	registratiebewijs
